run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230529-11:55:50-21191,runattr,,,configname,General,,
General-0-20230529-11:55:50-21191,runattr,,,datetime,20230529-11:55:50,,
General-0-20230529-11:55:50-21191,runattr,,,datetimef,20230529-115550,,
General-0-20230529-11:55:50-21191,runattr,,,experiment,General,,
General-0-20230529-11:55:50-21191,runattr,,,inifile,omnetpp.ini,,
General-0-20230529-11:55:50-21191,runattr,,,iterationvars,,,
General-0-20230529-11:55:50-21191,runattr,,,iterationvarsd,,,
General-0-20230529-11:55:50-21191,runattr,,,iterationvarsf,,,
General-0-20230529-11:55:50-21191,runattr,,,measurement,,,
General-0-20230529-11:55:50-21191,runattr,,,network,Network,,
General-0-20230529-11:55:50-21191,runattr,,,processid,21191,,
General-0-20230529-11:55:50-21191,runattr,,,repetition,0,,
General-0-20230529-11:55:50-21191,runattr,,,replication,#0,,
General-0-20230529-11:55:50-21191,runattr,,,resultdir,results,,
General-0-20230529-11:55:50-21191,runattr,,,runnumber,0,,
General-0-20230529-11:55:50-21191,runattr,,,seedset,0,,
General-0-20230529-11:55:50-21191,config,,,network,Network,,
General-0-20230529-11:55:50-21191,config,,,sim-time-limit,200s,,
General-0-20230529-11:55:50-21191,config,,,Network.node[0].app.interArrivalTime,exponential(1),,
General-0-20230529-11:55:50-21191,config,,,Network.node[0].app.packetByteSize,125000,,
General-0-20230529-11:55:50-21191,config,,,Network.node[0].app.destination,5,,
General-0-20230529-11:55:50-21191,config,,,Network.node[2].app.interArrivalTime,exponential(1),,
General-0-20230529-11:55:50-21191,config,,,Network.node[2].app.packetByteSize,125000,,
General-0-20230529-11:55:50-21191,config,,,Network.node[2].app.destination,5,,
