run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230606-14:01:35-6426,runattr,,,configname,General,,
General-0-20230606-14:01:35-6426,runattr,,,datetime,20230606-14:01:35,,
General-0-20230606-14:01:35-6426,runattr,,,datetimef,20230606-140135,,
General-0-20230606-14:01:35-6426,runattr,,,experiment,General,,
General-0-20230606-14:01:35-6426,runattr,,,inifile,omnetpp.ini,,
General-0-20230606-14:01:35-6426,runattr,,,iterationvars,,,
General-0-20230606-14:01:35-6426,runattr,,,iterationvarsd,,,
General-0-20230606-14:01:35-6426,runattr,,,iterationvarsf,,,
General-0-20230606-14:01:35-6426,runattr,,,measurement,,,
General-0-20230606-14:01:35-6426,runattr,,,network,Network,,
General-0-20230606-14:01:35-6426,runattr,,,processid,6426,,
General-0-20230606-14:01:35-6426,runattr,,,repetition,0,,
General-0-20230606-14:01:35-6426,runattr,,,replication,#0,,
General-0-20230606-14:01:35-6426,runattr,,,resultdir,results,,
General-0-20230606-14:01:35-6426,runattr,,,runnumber,0,,
General-0-20230606-14:01:35-6426,runattr,,,seedset,0,,
General-0-20230606-14:01:35-6426,config,,,network,Network,,
General-0-20230606-14:01:35-6426,config,,,sim-time-limit,200s,,
General-0-20230606-14:01:35-6426,config,,,Network.node[0].app.interArrivalTime,exponential(1),,
General-0-20230606-14:01:35-6426,config,,,Network.node[0].app.packetByteSize,125000,,
General-0-20230606-14:01:35-6426,config,,,Network.node[0].app.destination,5,,
General-0-20230606-14:01:35-6426,config,,,Network.node[2].app.interArrivalTime,exponential(1),,
General-0-20230606-14:01:35-6426,config,,,Network.node[2].app.packetByteSize,125000,,
General-0-20230606-14:01:35-6426,config,,,Network.node[2].app.destination,5,,
